,FIPS,Density,Non-White,Poverty,Income,Unemployment,Uninsured,Employed,Labor,Transit,Mean Commute,Senior Citizen,Gini,Comorbidities,confirmed rate,death rate
83,36019,1.8896191,0.10070362235210906,0.15,27761.0,0.044000000000000004,0.039,0.529,0.466,0.1627047771795166,19.3,0.16399999999999998,0.4278,0.44799999999999995,2.1427456948972323,0.7759648858230965
84,36021,1.9716887,0.13652250252604725,0.11599999999999999,38268.0,0.049,0.046,0.581,0.40299999999999997,0.17471566356690982,26.3,0.231,0.4663,0.413,2.9156044191842527,1.8008933751043052
85,36023,1.9795307,0.07381176224798913,0.16399999999999998,28229.0,0.053,0.032,0.583,0.434,0.17725514604543635,21.2,0.16,0.4434,0.409,2.1112706944011608,0.0
86,36025,1.4856906,0.07914212690298927,0.166,27701.0,0.047,0.051,0.518,0.48900000000000005,0.18100450081833064,24.9,0.24,0.4412,0.47600000000000003,2.321083148303332,1.0027318681181903
87,36027,2.5679479,0.2853169658966346,0.09,40093.0,0.05,0.047,0.5920000000000001,0.379,0.17996234685849166,33.0,0.171,0.4497,0.38299999999999995,3.1688147045897166,1.721500423133828
88,36029,2.9450045,0.24505006227191894,0.142,33598.0,0.043,0.032,0.599,0.365,0.1508360038382851,21.5,0.17600000000000002,0.4661,0.41200000000000003,2.934462710574802,1.8531906231413549
89,36031,1.3129988,0.08040791265116531,0.099,31667.0,0.05,0.036000000000000004,0.539,0.483,0.158106271056209,23.0,0.228,0.4362,0.43799999999999994,2.1438500554412365,0.0
90,36033,1.487183,0.18376686411633025,0.17800000000000002,25406.0,0.07,0.051,0.465,0.47800000000000004,0.15812079113420652,20.1,0.166,0.4529,0.509,1.8748727637005276,0.0
91,36035,2.0323946,0.07305297692279011,0.149,27443.0,0.051,0.048,0.56,0.47800000000000004,0.13943427620632276,24.7,0.19,0.4234,0.488,2.698349363530264,1.6623623751582932
92,36037,2.06521,0.09477926930528646,0.109,30511.0,0.040999999999999995,0.035,0.622,0.47,0.1423035671037609,22.3,0.183,0.4117,0.45399999999999996,2.6478089900140707,0.9880704478143619
93,36039,1.8628188,0.14716177462887992,0.14,28433.0,0.039,0.042,0.505,0.429,0.1453572678633932,28.9,0.21600000000000003,0.4526,0.43200000000000005,2.759893279779379,1.592679527839851
94,36041,0.41016307,0.04053156146179404,0.099,24851.0,0.036000000000000004,0.061,0.45,0.5609999999999999,0.14261460101867574,22.9,0.303,0.3979,0.45899999999999996,2.136306887669434,0.0
95,36043,1.6379017,0.05488502505760828,0.136,27850.0,0.059000000000000004,0.05,0.5660000000000001,0.46,0.14745738535054564,23.4,0.201,0.4152,0.47100000000000003,2.5082208651837092,0.8764062782414099
96,36045,1.9373771,0.18362843622055613,0.14,26194.0,0.062,0.053,0.491,0.457,0.1667885599907618,18.0,0.132,0.4207,0.45299999999999996,1.9640072243992,0.0
97,36047,4.5670424,0.6359558049617486,0.2,34173.0,0.062,0.073,0.597,0.374,0.7705985717088156,43.0,0.136,0.5264,0.34299999999999997,3.3840813058081287,2.4500488821997677
98,36049,1.3145015,0.04147222640373327,0.135,26708.0,0.048,0.055,0.565,0.512,0.16079632465543647,23.9,0.179,0.4002,0.444,2.0888145186220997,0.0
99,36051,1.9981941,0.09241873850073123,0.132,28701.0,0.035,0.032,0.545,0.441,0.16266089929186867,25.7,0.172,0.4238,0.425,2.3820353737699436,1.1372202170737775
100,36053,2.0347567,0.06909627132926055,0.098,30469.0,0.04,0.044000000000000004,0.5770000000000001,0.434,0.13205793277159739,24.0,0.17600000000000002,0.4307,0.40399999999999997,2.7251091626931423,1.3973067865505397
101,36055,3.052791,0.29428351187409274,0.14400000000000002,33840.0,0.055,0.033,0.608,0.341,0.14715951224679824,20.4,0.16899999999999998,0.4639,0.414,2.762027815022256,1.5836873552655044
102,36057,2.0867198,0.18729463307776562,0.198,26521.0,0.066,0.063,0.5489999999999999,0.48,0.156023358764246,24.8,0.183,0.4472,0.45899999999999996,2.4585820971725374,0.9603096174712342
103,36059,3.6782703,0.40016395025760976,0.055999999999999994,51422.0,0.039,0.044000000000000004,0.626,0.302,0.27543798893595106,36.6,0.175,0.4578,0.341,3.4955836838877063,2.2107682195515443
104,36061,4.8565726,0.5308637965971668,0.158,76592.0,0.052000000000000005,0.052000000000000005,0.638,0.20600000000000002,0.8681625489888873,32.2,0.162,0.5956,0.29100000000000004,3.241281193212236,2.2852649290336826
105,36063,2.6027658,0.14564557442367898,0.135,30971.0,0.05,0.033,0.58,0.415,0.11496520190984871,22.8,0.18600000000000003,0.4425,0.441,2.8121996481608442,1.661961091629604
